0920110511213717307601001JOAQUIN                  GIL                      MAMPEL (IND)             M                  007N
0920110511213717307601001ANA MARIA                MOLINOS                  QUEROL (IND)             F                  013S
0920110511213717318602402JOSE                     QUEROL                   BALAGUER (IND)           M                  022S
0920110511213717318602402IVAN                     BONO                     QUEROL                   M                  026S
0820110511214117307605205MANUEL                   MILIAN                   MARTI                    M                  069S
0820110511214117307605205JUAN RAMON               BARBERAN                 MARTI                    M                  034S
0820110511214117307605205JOSE RAMON               GUARCH                   GARCIA                   M                  035S
0820110511214117307605205JOSE                     BARBERAN                 HERNANDEZ                M                  050S
0820110511214117307605205CRISTOBAL                CASTEL                   GASCON                   M                  021S
0820110511214117318601100PEDRO PATRICIO           GIL                      FERRER                   M                  010N
0820110511214117318601100JOSEP MANEL              BORDAS                   ANTOLI                   M                  012N
0820110511214117318601100INES                     GARCIA                   SEBASTIA                 F                  012N
0820110511214217307604601MARIA ESTER              ISERTE                   BENAGES                  F                  047N
0820110511214217307604601ASENSIO                  ISERTE                   IBAÑEZ                   M                  049S
0820110511214217307604601ANDRES                   JULIAN                   FLOR                     M                  045N
0820110511214217307604601ALFREDO                  VIDAL                    NEBOT                    M                  043N
0820110511214217318609104SALUSTIAN                IBAÑEZ                   ZAFONT                   M                  095S
0820110511214217318609104JUAN                     HONRUBIA                 PEREZ                    M                  086S
0820110511214217318609104JOSE MARIA               IBAÑEZ                   ZAFONT                   M                  095S
0820110511214217318609104JOAQUIM                  CASTILLO                 GIMENO                   M                  091S
0820110514907508307608004RAUL                     NUÑEZ                    MARTINEZ                 M                  080S
0820110514907508307608004JOSE ANTONIO             MORO                     BECARES                  M                  082S
0820110514907508307608004JOSE                     RIOS                     RODRIGUEZ                M                  084S
0820110514907508307608004ARANCHA                  LOPEZ                    TEJEDOR                  F                  075S
0820110514907508318604101JUAN ANTONIO             CASTELLANOS              COBREROS                 M                  044N
0820110514907508318604101JOAQUIN                  VILLAREJO                CASTELLANOS              M                  035N
0820110514907508318604101FELICITO                 CANAL                    MANCHADO                 M                  045S
0820110514907508318604101ANTONIO MANUEL           ALIJAS                   BLANCO                   M                  040N
0820110514906208021301300EMILIA                   FERRERO                  GARCIA                   F                  014N
0820110514906208307607104SATURNINO                VELASCO                  SANTIAGO                 M                  074S
0820110514906208307607104JOSE MANUEL              RODRIGUEZ                GONZALEZ                 M                  070S
0820110514906208307607104ELADIO                   CARBAYO                  IGLESIAS                 M                  070S
0820110514906208318603801VICENTE                  FARIZA                   TEJERO                   M                  041S
0820110514906208318603801PEDRO                    FERRERO                  RODRIGUEZ                M                  038N
0820110514906208318603801JOSE LUIS                SANCHEZ                  GONZALEZ                 M                  037N
0820110514906208318603801JESUS                    ARIAS                    MORENO                   M                  037N
0820110514906208021301300MARIA CONCEPCION         MARTINEZ                 GONZALEZ                 F                  013N
0820110514905708307605604SARA                     ANDRES                   MARTINEZ                 F                  056S
0820110514905708307605604EMILIANO                 BRESME                   PARAMIO                  M                  062S
0820110514905708307605604BALDOMERO                ANDRES                   ANDRES                   M                  053S
0820110514905708307605604ABELARDO                 RODRIGO                  TRIGO                    M                  056S
0820110514905708318602501OSCAR                    TRIGO                    MARTINEZ                 M                  025S
0820110514905908021303500PEDRO                    AVEDILLO                 SÁNCHEZ                  M                  035N
0820110514905908307605905ROSA                     LOPEZ                    RODRIGUEZ                F                  054S
0820110514905908307605905JUAN CARLOS              CUADRADO                 RAMOS                    M                  036S
0820110514905908307605905JUAN ANTONIO             PRIETO                   LASTRA                   M                  042S
